sample_name,NMDS1,NMDS2,corrected_id,species,region,bio_region,thermal_cluster
TG35,-0.6949076545018035,-0.37092196121115273,TG35,Tgig,Ala,WPS,E
TG36,-0.02244147280378347,-0.13496017386902462,TG36,Tgig,Ala,WPS,E
TG37,-0.7744751104544967,-0.3114471693414628,TG37,Tgig,Ala,WPS,E
TG38,0.07574997158210418,0.09125820552310174,TG38,Tgig,Bat,WPS,D
TG39,0.05037934121694599,0.013692410648785444,TG39,Tgig,Bat,WPS,D
TG40,-0.7885446689850387,-0.29437266415147045,TG40,Tgig,Bat,WPS,D
TG42,0.6266878834593305,0.6730195858985327,TG42,Tgig,Bat,WPS,D
TG43,-0.5936751175485183,-0.3149008728887133,TG43,Tgig,Bat,WPS,D
TG44,-0.14359180380888933,-0.10968020198779299,TG44,Tgig,Zam,WPS,F
TG45,-0.0676242516464406,-0.008070465016614143,TG45,Tgig,Zam,WPS,F
TG46,-0.020486233571527318,-0.1383629830140657,TG46,Tgig,Zam,WPS,F
TG47,0.8290787385975588,0.9677779380127083,TG47,Tgig,Pal,SS,F
TG48,1.2826297472239239,0.2355804035579175,TG48,Tgig,Pal,SS,F
TG49,1.479998068264088,-0.08744991532044069,TG49,Tgig,Pal,SS,F
TG50,-0.48253006017459366,-0.5857908594802073,TG50,Tgig,Ant,SS,D
TG51,-0.496512414771924,-0.5032568557584314,TG51,Tgig,Ant,SS,D
TG52,-0.15417631601558535,-0.05662164887887003,TG52,Tgig,Ant,SS,D
TG53,-0.22410294888656468,0.009689311789140382,TG53,Tgig,Bol,WPS,E
TG54,-0.14512939846021963,0.3713367917377213,TG54,Tgig,Bol,WPS,E
TG55,-0.16628814136033052,0.5479322826489519,TG55,Tgig,Bol,WPS,E
TG56,-0.01790487944676012,0.11681569917029108,TG56,Tgig,Boh,VS,D
TG57,-0.8068552686323393,-0.27373578768988843,TG57,Tgig,Boh,VS,D
TG58,-0.8405986951923394,-0.2717962330856727,TG58,Tgig,Boh,VS,D
TG59,0.4960199845373822,0.8292137857557504,TG59,Tgig,Cam,VS,D
TG60,0.0075243933802490795,0.7792756301432546,TG60,Tgig,Cam,VS,D
TG61,-0.03261506747167548,0.6563962194691353,TG61,Tgig,Cam,VS,D
TG62,1.6427377815617095,-0.6781006521220678,TG62,Tgig,Cam,VS,D
TG63,1.555944989829701,-0.5156123047603632,TG63,Tgig,Cam,VS,D
TG64,1.7253235756959002,-0.8353265513705379,TG64,Tgig,Cam,VS,D
TG65,-1.1240399102108785,0.2363202434638951,TG65,Tgig,Sam,SPS,E
TG66,-1.0761783082548864,-0.01673213518634259,TG66,Tgig,Sam,SPS,E
TG67,-1.0993967531502984,-0.021169072686066687,TG67,Tgig,Sam,SPS,E
