group_1,group_2,P-adjusted,R2,sig
Ala,Bat,0.405,0.12770314966410062,
Ala,Zam,0.46451612903225814,0.33183318919282573,
Ala,Pal,0.1565217391304348,0.6238690266541745,
Ala,Ant,0.5142857142857142,0.17248090745432848,
Ala,Bol,0.46451612903225814,0.2885968507310345,
Ala,Boh,0.5142857142857142,0.052388199279616375,
Ala,Cam,0.1565217391304348,0.3330764756792317,
Ala,Sam,0.1565217391304348,0.43632806025987786,
Bat,Zam,0.955,0.02881590746492099,
Bat,Pal,0.1565217391304348,0.4278397731691465,
Bat,Ant,0.36719999999999997,0.186284429756513,
Bat,Bol,0.5142857142857142,0.12299148200796528,
Bat,Boh,0.36719999999999997,0.12668405678567174,
Bat,Cam,0.1565217391304348,0.27808969265311206,
Bat,Sam,0.1565217391304348,0.39666238158553746,
Zam,Pal,0.1565217391304348,0.6201815558562329,
Zam,Ant,0.1565217391304348,0.5284111041605662,
Zam,Bol,0.1565217391304348,0.5404139059923864,
Zam,Boh,0.39999999999999997,0.4024899140106573,
Zam,Cam,0.1565217391304348,0.33412658471504303,
Zam,Sam,0.1565217391304348,0.8387334762723474,
Pal,Ant,0.1565217391304348,0.7136148819314839,
Pal,Bol,0.1565217391304348,0.5614496115569103,
Pal,Boh,0.1565217391304348,0.6182606914654039,
Pal,Cam,0.48825,0.1032823539492991,
Pal,Sam,0.1565217391304348,0.7421631095143402,
Ant,Bol,0.1565217391304348,0.6935906144359569,
Ant,Boh,0.46451612903225814,0.2074260860764087,
Ant,Cam,0.1565217391304348,0.4089376784551023,
Ant,Sam,0.1565217391304348,0.7040988428275465,
Bol,Boh,0.39999999999999997,0.33958279067475416,
Bol,Cam,0.1565217391304348,0.262724795151022,
Bol,Sam,0.1565217391304348,0.7831731175562361,
Boh,Cam,0.1565217391304348,0.33655654314668937,
Boh,Sam,0.1565217391304348,0.40940114295871344,
Cam,Sam,0.1565217391304348,0.44543229286379327,
Bat,Ala,0.405,0.12770314966410062,
Zam,Ala,0.46451612903225814,0.33183318919282573,
Pal,Ala,0.1565217391304348,0.6238690266541745,
Ant,Ala,0.5142857142857142,0.17248090745432848,
Bol,Ala,0.46451612903225814,0.2885968507310345,
Boh,Ala,0.5142857142857142,0.052388199279616375,
Cam,Ala,0.1565217391304348,0.3330764756792317,
Sam,Ala,0.1565217391304348,0.43632806025987786,
Zam,Bat,0.955,0.02881590746492099,
Pal,Bat,0.1565217391304348,0.4278397731691465,
Ant,Bat,0.36719999999999997,0.186284429756513,
Bol,Bat,0.5142857142857142,0.12299148200796528,
Boh,Bat,0.36719999999999997,0.12668405678567174,
Cam,Bat,0.1565217391304348,0.27808969265311206,
Sam,Bat,0.1565217391304348,0.39666238158553746,
Pal,Zam,0.1565217391304348,0.6201815558562329,
Ant,Zam,0.1565217391304348,0.5284111041605662,
Bol,Zam,0.1565217391304348,0.5404139059923864,
Boh,Zam,0.39999999999999997,0.4024899140106573,
Cam,Zam,0.1565217391304348,0.33412658471504303,
Sam,Zam,0.1565217391304348,0.8387334762723474,
Ant,Pal,0.1565217391304348,0.7136148819314839,
Bol,Pal,0.1565217391304348,0.5614496115569103,
Boh,Pal,0.1565217391304348,0.6182606914654039,
Cam,Pal,0.48825,0.1032823539492991,
Sam,Pal,0.1565217391304348,0.7421631095143402,
Bol,Ant,0.1565217391304348,0.6935906144359569,
Boh,Ant,0.46451612903225814,0.2074260860764087,
Cam,Ant,0.1565217391304348,0.4089376784551023,
Sam,Ant,0.1565217391304348,0.7040988428275465,
Boh,Bol,0.39999999999999997,0.33958279067475416,
Cam,Bol,0.1565217391304348,0.262724795151022,
Sam,Bol,0.1565217391304348,0.7831731175562361,
Cam,Boh,0.1565217391304348,0.33655654314668937,
Sam,Boh,0.1565217391304348,0.40940114295871344,
Sam,Cam,0.1565217391304348,0.44543229286379327,
